Source,Raw Name,Clean Name,Notes
folder,Auto Guns,,
folder,Coat Master,,
folder,ColorMax,,
folder,Cordis-Feed_Center,,
folder,DCM,,
folder,Dense-Phase_20,,
folder,Dolly-Depot,,
folder,Ecomax,,
folder,EcoMax-EU,,
folder,Econo-Coat-US,,
folder,Encore Controller,,
folder,Encore Feed Center,,
folder,Encore Hopper,,
folder,Encore Pump,,
folder,Encore-Footer,,
folder,Encore-Gun,,
folder,Excel Booth,,
folder,FANIC,,
folder,Horizon Booth,,
folder,Lean Cell Booth,,
folder,Manual-Enlighten,,
folder,Powder_Pilot,,
folder,VANTAGE,,
folder,Variio,,
folder,VT_Controller,,
filename,Encore LT,,
filename,Encore HD,,
filename,Encore VT,,
filename,EncoreVT,,
filename,ColorMax 3,,
filename,Cordis VT,,
filename,CoatMaster,,
filename,iTrax,,
filename,Prodigy,,
filename,Spectrum HD,,
